,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
153,0.443947077,0.128439862,0.003458389,8.66E-05,0.0001,"(15, 15, 15, 15)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15, 15), 'NN__learning_rate_init': 0.1}",0.670054817,0.67656023,0.699301445,0.709763911,0.618727177,0.629909471,0.663326137,0.705202312,0.663326137,0.675846187,0.68458885,0.726940984,0.680462854,0.650363482,0.6414748,0.673056586,0.0291034,31,0.846493008,0.798654401,0.792023537,0.788561174,0.811163561,0.817557199,0.820966838,0.785705642,0.773750996,0.818984082,0.772972561,0.823877946,0.781425948,0.807619711,0.860913986,0.806711373,0.024796067,,0.133654786
31,9.060619688,1.742548002,0.003889974,0.001360681,0.0001,"(40,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.001}",0.734353212,0.688049509,0.693887813,0.69281566,0.659301799,0.670387488,0.659164675,0.66505405,0.68811165,0.623951014,0.617726501,0.670630687,0.670785007,0.667812332,0.688153771,0.672679011,0.027353895,32,0.900071768,0.885566316,0.871124384,0.894300115,0.8653321,0.869685863,0.843620381,0.885609513,0.881269362,0.887007948,0.874003534,0.868228303,0.856643848,0.859521182,0.887042161,0.875268452,0.014826835,,
8,0.17559069,0.047320928,0.003262599,0.00010194,0.0001,"(15,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.5}",0.673672584,0.733730797,0.693208865,0.715036477,0.658276875,0.67656023,0.656558569,0.663602372,0.633451366,0.632463678,0.641834621,0.671625992,0.685978902,0.649543166,0.699603231,0.672343182,0.028346216,33,0.762176398,0.778449584,0.789906716,0.772399248,0.758326746,0.772443218,0.774958714,0.762875128,0.77066355,0.760890158,0.785702004,0.72707039,0.773979186,0.75630421,0.75215153,0.766553119,0.014762385,,
16,0.177499135,0.043200092,0.00461456,0.003492112,0.0001,"(25,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.5}",0.67493558,0.52403967,0.69302712,0.728414777,0.629417191,0.665076221,0.678338562,0.681804704,0.672906955,0.633984723,0.676408737,0.738560517,0.661225061,0.716933374,0.703701919,0.671918341,0.049368634,34,0.823642469,0.586181705,0.787351113,0.759582024,0.759714908,0.805584947,0.738137748,0.766865248,0.76321226,0.795814044,0.782932825,0.796500794,0.766815211,0.775087173,0.771662205,0.765272312,0.052127334,,
49,0.306900199,0.102521879,0.003245624,7.82E-05,0.0001,"(5, 5)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.1}",0.649036846,0.722543353,0.676300578,0.697876786,0.662396532,0.682187505,0.653295076,0.739362649,0.641115421,0.679134957,0.618854609,0.636130797,0.67656023,0.716648893,0.622995427,0.671629311,0.035007767,35,0.745476029,0.746558833,0.771168732,0.758177215,0.764607051,0.762538684,0.749252718,0.752051581,0.755247934,0.764605387,0.765075357,0.78100096,0.758193414,0.768190199,0.765217391,0.760490766,0.009418308,,
41,0.28887337,0.109155184,0.003117212,0.000489066,0.0001,"(55,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.1}",0.681952839,0.688049509,0.688153771,0.711156952,0.67082864,0.721373355,0.679842734,0.693887813,0.656558569,0.679134957,0.571635703,0.641618497,0.66505405,0.722543353,0.595619733,0.671160698,0.040695758,36,0.857944655,0.839144337,0.886802616,0.856450915,0.847967173,0.857550556,0.786437503,0.799403395,0.867954405,0.829140787,0.859041166,0.819216219,0.90442029,0.863845957,0.901530552,0.851790035,0.032440535,,
32,0.197351599,0.04163185,0.003385528,0.000128557,0.0001,"(45,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.5}",0.682399982,0.71107923,0.652478637,0.668200651,0.692082386,0.675434608,0.61237041,0.668923814,0.655799317,0.617476503,0.624116761,0.693627543,0.727939937,0.720870135,0.658822137,0.670774803,0.034327491,37,0.785272927,0.79416486,0.789873234,0.757166578,0.806840056,0.811393227,0.803143162,0.745392836,0.807060515,0.803011172,0.727556586,0.783816458,0.792943994,0.780364045,0.76251486,0.783367634,0.02396725,,
149,0.492582989,0.119049615,0.003501129,0.00011073,0.0001,"(10, 10, 10, 10)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10, 10, 10), 'NN__learning_rate_init': 0.1}",0.666641782,0.720870135,0.681804704,0.728323699,0.682080925,0.703947642,0.617726501,0.653994435,0.653179191,0.662018033,0.630536431,0.672982978,0.647398844,0.699522399,0.637338074,0.670557718,0.031394887,38,0.769594886,0.769431621,0.766551489,0.766659789,0.788601512,0.750514101,0.738352254,0.76564049,0.775250922,0.797237852,0.757519123,0.740926794,0.779780477,0.780948404,0.774885589,0.768126353,0.015762974,,
89,0.485944033,0.083602679,0.003568172,7.50E-05,0.0001,"(55, 55)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55), 'NN__learning_rate_init': 0.1}",0.658040074,0.699603231,0.693825894,0.641115421,0.664942065,0.658275473,0.649543166,0.638708932,0.69302712,0.635863113,0.687965568,0.618879837,0.727778767,0.710982659,0.67493558,0.67023246,0.030171913,39,0.86525062,0.869683714,0.880963643,0.851369644,0.840550123,0.806567346,0.860843849,0.821576265,0.869606861,0.853581682,0.828752676,0.840606498,0.841791663,0.852146589,0.833076674,0.847757856,0.019496609,,
161,0.477645206,0.14874777,0.003526354,0.000127512,0.0001,"(25, 25, 25, 25)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25, 25, 25), 'NN__learning_rate_init': 0.1}",0.676408737,0.728578001,0.6403852,0.715036477,0.662396532,0.683763032,0.609990239,0.689181442,0.647398844,0.619268336,0.662018033,0.66500881,0.666641782,0.710576953,0.674636539,0.670085931,0.032089873,40,0.767862623,0.778280033,0.810161335,0.739367427,0.775382153,0.759714908,0.783996739,0.802862717,0.825896967,0.749841884,0.793605239,0.785327014,0.787619493,0.779625006,0.773913043,0.780897105,0.02159502,,
