,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
27,0.703323062,0.174075749,0.003757254,0.000449885,0.0001,"(35,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35,), 'NN__learning_rate_init': 0.001}",0.576594865,0.635107708,0.655799317,0.615542444,0.621632322,0.635521752,0.625200631,0.589595376,0.630057803,0.604585245,0.653457389,0.599126125,0.600809538,0.629909471,0.646195709,0.621275713,0.022555045,31,0.651818425,0.634475727,0.628957536,0.627430167,0.632962195,0.622010123,0.630210804,0.643789945,0.632131531,0.645198871,0.658253091,0.650362957,0.633229362,0.643939936,0.62696695,0.637449175,0.010317039,,0.016173462
55,1.216151079,0.247247784,0.003606685,4.46E-05,0.0001,"(10, 10)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.001}",0.622365191,0.651716693,0.674348491,0.617726501,0.65350419,0.616888363,0.61237041,0.588039881,0.618727177,0.608349652,0.635107708,0.564267528,0.6295385,0.583648154,0.641834621,0.621228871,0.027713515,32,0.646556388,0.647572342,0.632588049,0.619025017,0.614713533,0.621787124,0.640903672,0.649938336,0.637461971,0.645111922,0.618037103,0.625595545,0.64987373,0.616854585,0.600181488,0.631080054,0.015085486,,
23,0.778533538,0.188788096,0.003633801,0.00011162,0.0001,"(30,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.001}",0.597460218,0.629909471,0.664851907,0.627423245,0.61302799,0.6295385,0.629417191,0.608157885,0.606936416,0.620217844,0.652251366,0.600356061,0.640659745,0.607330742,0.587818481,0.621023804,0.020405148,33,0.648032811,0.631382879,0.632224608,0.629153844,0.626149998,0.620462137,0.639097615,0.664401791,0.637742041,0.649355812,0.642548921,0.63312253,0.639824897,0.635786325,0.628369737,0.637177063,0.010540807,,
170,0.547850736,0.10265722,0.003933668,4.70E-05,0.0001,"(35, 35, 35, 35)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35, 35, 35, 35), 'NN__learning_rate_init': 0.01}",0.621987164,0.674348491,0.610199947,0.630354549,0.586715579,0.612949715,0.670054817,0.492575155,0.626859325,0.626859325,0.644131497,0.611939944,0.640894592,0.584256485,0.66939599,0.620234838,0.043170834,34,0.647078698,0.64289093,0.592980922,0.625225751,0.605342305,0.636051493,0.640308216,0.577160302,0.622539576,0.643077465,0.624248522,0.633992102,0.60686565,0.616044144,0.61930007,0.622207076,0.019327323,,
155,1.482479397,0.607334131,0.003763135,4.76E-05,0.0001,"(15, 15, 15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15, 15), 'NN__learning_rate_init': 0.001}",0.56342191,0.651087669,0.668200651,0.618141106,0.637861272,0.629909471,0.569674792,0.611939944,0.622365191,0.645604256,0.616196436,0.607304749,0.606384656,0.630354549,0.624403415,0.620190004,0.026655014,35,0.649860647,0.646846549,0.620385769,0.644754811,0.676652062,0.623308711,0.677108466,0.662288342,0.653789752,0.665525022,0.620959935,0.678504224,0.624073767,0.624841429,0.640821337,0.647314722,0.020680946,,
59,1.140825939,0.311210806,0.003662952,0.00010178,0.0001,"(15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15), 'NN__learning_rate_init': 0.001}",0.581158445,0.663326137,0.65779585,0.606142455,0.644916486,0.633984723,0.609803067,0.560876883,0.605278919,0.619854664,0.633984723,0.601529406,0.617476503,0.613079279,0.647752707,0.61979735,0.027079673,36,0.609069464,0.65345221,0.631075704,0.623011471,0.633566047,0.639243103,0.631393491,0.634330595,0.621945213,0.667876816,0.637088719,0.628761058,0.621933223,0.62213911,0.630466608,0.632356856,0.013545031,,
67,0.882192691,0.277236444,0.003730885,0.00019351,0.0001,"(25, 25)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.001}",0.611395287,0.669859355,0.647398844,0.616535921,0.617476503,0.607330742,0.591322118,0.582060032,0.618344142,0.607078427,0.653040129,0.606384656,0.618624583,0.599126125,0.647752707,0.619581971,0.023669068,37,0.644511021,0.646718997,0.64192748,0.615833126,0.666958336,0.627878487,0.64429839,0.665052136,0.635465068,0.646578867,0.642912437,0.640433432,0.637376713,0.640633089,0.666386576,0.64419761,0.01337851,,
15,0.969449822,0.317759205,0.004232645,0.001489051,0.0001,"(20,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.001}",0.586706074,0.624126083,0.66271808,0.611068471,0.63583815,0.624277457,0.616888363,0.588195005,0.636203616,0.60177567,0.64010725,0.592935614,0.629909471,0.588772179,0.653388343,0.619527322,0.023433268,38,0.632362019,0.625574903,0.6228936,0.629406872,0.652437418,0.613076802,0.65526955,0.643771926,0.617243431,0.634285376,0.6242232,0.630049197,0.647572342,0.638277753,0.62891693,0.633024088,0.011971731,,
154,0.515759563,0.155249241,0.003778887,9.56E-05,0.0001,"(15, 15, 15, 15)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15, 15), 'NN__learning_rate_init': 0.01}",0.582359057,0.641181725,0.666641782,0.618344142,0.608349652,0.611921627,0.605888124,0.606384656,0.622678367,0.619854664,0.6414748,0.616196436,0.631551444,0.609990239,0.609948923,0.619517709,0.019049431,39,0.636422276,0.628121185,0.615358554,0.601872716,0.632399726,0.61585697,0.634580424,0.624730221,0.626973295,0.65345221,0.621771705,0.649061103,0.627193676,0.636169981,0.610573794,0.627635856,0.013252693,,
130,0.573610894,0.148083335,0.003945796,5.89E-05,0.0001,"(45, 45, 45)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45), 'NN__learning_rate_init': 0.01}",0.605884882,0.672906955,0.649543166,0.633948084,0.614497483,0.632463678,0.605888124,0.595510922,0.622995427,0.586212251,0.567217993,0.605583768,0.617652658,0.634187643,0.647752707,0.619483049,0.026035318,40,0.639072794,0.627974799,0.617305221,0.610831747,0.654602855,0.6185639,0.649938336,0.637613917,0.640015423,0.627586584,0.599766314,0.655008449,0.624041289,0.618577504,0.605975959,0.628458339,0.016652738,,
